Ticker,Name,PortfolioAction,Action,ScreenerAction,Reco,Score,YieldPct,DivGrowth5YPct,UpsideBestPct,Country,Sector,Industry,Weight,OwnedValue,OwnedShares,Price
MS,Morgan Stanley,HOLD,ADD,ADD,GOLD,3.455,2.19%,22.4%,18.2%,United States,Financial Services,Capital Markets,0,0,0,182.76
AFL,AFLAC Incorporated,HOLD,ADD,ADD,BUY,3.227,2.26%,15.7%,22.0%,United States,Financial Services,Insurance - Life,0,0,0,107.96
NKE,"Nike, Inc.",HOLD,ADD,ADD,HOLD,2.472,2.47%,9.8%,33.6%,United States,Consumer Cyclical,Footwear & Accessories,0,0,0,66.3
BAC,Bank of America Corporation,HOLD,ADD,ADD,HOLD,2.406,2.05%,8.4%,10.9%,United States,Financial Services,Banks - Diversified,0,0,0,54.54
COLO-B.CO,Coloplast B A/S,HOLD,AVOID,AVOID,AVOID,1.277,3.99%,5.0%,0.0%,Denmark,Healthcare,Medical Instruments & Supplies,0,0,0,576.4
ECL,Ecolab Inc.,HOLD,AVOID,AVOID,AVOID,1.167,1.07%,7.2%,-11.0%,United States,Basic Materials,Specialty Chemicals,0,0,0,273.54
DSV.CO,DSV A/S,HOLD,AVOID,AVOID,AVOID,1.15,41.00%,22.9%,-78.1%,Denmark,Industrials,Integrated Freight & Logistics,0,0,0,1727.0
MDT,Medtronic plc.,HOLD,AVOID,AVOID,AVOID,1.088,2.95%,-1.4%,-0.2%,Ireland,Healthcare,Medical Devices,0,0,0,96.42
V,Visa Inc.,HOLD,AVOID,AVOID,AVOID,1.065,82.00%,14.9%,-55.9%,United States,Financial Services,Credit Services,0,0,0,327.88
PH,Parker-Hannifin Corporation,HOLD,AVOID,AVOID,AVOID,1.063,77.00%,14.8%,-58.6%,United States,Industrials,Specialty Industrial Machinery,0,0,0,938.35
IBM,International Business Machines,HOLD,AVOID,AVOID,AVOID,1.01,2.22%,1.5%,-0.2%,United States,Technology,Information Technology Services,0,0,0,303.16
EMR,Emerson Electric Company,HOLD,AVOID,AVOID,AVOID,0.993,1.52%,1.3%,-0.2%,United States,Industrials,Specialty Industrial Machinery,0,0,0,146.35
DOV,Dover Corporation,HOLD,AVOID,AVOID,AVOID,0.895,1.02%,1.0%,-15.2%,United States,Industrials,Specialty Industrial Machinery,0,0,0,204.4
JPM,JP Morgan Chase & Co.,HOLD,AVOID,AVOID,AVOID,0.858,1.85%,-16.5%,4.3%,United States,Financial Services,Banks - Diversified,0,0,0,310.9
SHW,Sherwin-Williams Company (The),HOLD,AVOID,AVOID,AVOID,0.856,89.00%,12.1%,-52.1%,United States,Basic Materials,Specialty Chemicals,0,0,0,355.99
CB,Chubb Limited,HOLD,AVOID,AVOID,AVOID,0.791,1.29%,-9.5%,0.0%,Switzerland,Financial Services,Insurance - Property & Casualty,0,0,0,300.69
LLY,Eli Lilly and Company,HOLD,AVOID,AVOID,AVOID,0.788,58.00%,15.2%,-68.8%,United States,Healthcare,Drug Manufacturers - General,0,0,0,1077.19
ESS,"Essex Property Trust, Inc.",HOLD,AVOID,AVOID,AVOID,0.752,4.11%,-21.0%,0.1%,United States,Real Estate,REIT - Residential,0,0,0,249.92
GIS,"General Mills, Inc.",HOLD,AVOID,AVOID,AVOID,0.751,5.51%,-21.5%,0.0%,United States,Consumer Defensive,Packaged Foods,0,0,0,44.27
ADBE,Adobe Inc.,HOLD,AVOID,AVOID,AVOID,0.75,nan%,-19.1%,nan%,United States,Technology,Software - Application,0,0,0,309.93
APD,"Air Products and Chemicals, Inc",HOLD,AVOID,AVOID,AVOID,0.75,2.69%,-21.5%,-0.0%,United States,Basic Materials,Specialty Chemicals,0,0,0,266.18
SYY,Sysco Corporation,HOLD,AVOID,AVOID,AVOID,0.75,2.84%,-21.7%,-0.0%,United States,Consumer Defensive,Food Distribution,0,0,0,76.06
MAIN,Main Street Capital Corporation,HOLD,AVOID,AVOID,AVOID,0.749,7.12%,-36.8%,-0.0%,United States,Financial Services,Asset Management,0,0,0,60.69
MSFT,Microsoft Corporation,HOLD,AVOID,AVOID,AVOID,0.717,77.00%,10.2%,-58.2%,United States,Technology,Software - Infrastructure,0,0,0,470.67
AVGO,Broadcom Inc.,HOLD,AVOID,AVOID,AVOID,0.597,73.00%,12.6%,-60.4%,United States,Technology,Semiconductors,0,0,0,354.61
CAT,"Caterpillar, Inc.",HOLD,AVOID,AVOID,AVOID,0.492,95.00%,7.2%,-63.3%,United States,Industrials,Farm & Heavy Construction Machinery,0,0,0,636.53
MMM,3M Company,HOLD,AVOID,AVOID,AVOID,0.463,1.72%,-9.9%,0.2%,United States,Industrials,Conglomerates,0,0,0,169.42
CSCO,"Cisco Systems, Inc.",HOLD,AVOID,AVOID,AVOID,0.454,2.17%,-22.5%,0.1%,United States,Technology,Communication Equipment,0,0,0,75.47
HRL,Hormel Foods Corporation,HOLD,AVOID,AVOID,AVOID,0.449,4.98%,-21.5%,-0.0%,United States,Consumer Defensive,Packaged Foods,0,0,0,23.5
AAPL,Apple Inc.,HOLD,AVOID,AVOID,AVOID,0.324,40.00%,5.0%,-91.7%,United States,Technology,Consumer Electronics,0,0,0,261.05
SPGI,S&P Global Inc.,HOLD,AVOID,AVOID,AVOID,0.209,71.00%,7.5%,-70.1%,United States,Financial Services,Financial Data & Stock Exchanges,0,0,0,542.16
AMBU-B.CO,Ambu A/S,HOLD,AVOID,AVOID,AVOID,0.188,45.00%,7.2%,-82.9%,Denmark,Healthcare,Medical Devices,0,0,0,91.0
WMT,Walmart Inc.,HOLD,AVOID,AVOID,AVOID,0.061,78.00%,5.5%,-81.8%,United States,Consumer Defensive,Discount Stores,0,0,0,120.36
META,"Meta Platforms, Inc.",HOLD,AVOID,AVOID,AVOID,-0.05,33.00%,nan%,-95.8%,United States,Communication Services,Internet Content & Information,0,0,0,631.09
MA,Mastercard Incorporated,HOLD,AVOID,AVOID,AVOID,-0.8,64.00%,-13.1%,-92.0%,United States,Financial Services,Credit Services,0,0,0,544.99
VWS.CO,Vestas Wind Systems A/S,HOLD,AVOID,AVOID,AVOID,-0.8,30.00%,-19.1%,-96.2%,Denmark,Industrials,Specialty Industrial Machinery,0,0,0,182.05
COST,Costco Wholesale Corporation,HOLD,AVOID,AVOID,AVOID,-1.1,55.00%,-16.9%,-93.1%,United States,Consumer Defensive,Discount Stores,0,0,0,941.93
INTU,Intuit Inc.,HOLD,AVOID,AVOID,AVOID,-1.1,74.00%,-13.3%,-90.7%,United States,Technology,Software - Application,0,0,0,605.28
ORCL,Oracle Corporation,HOLD,AVOID,AVOID,AVOID,-1.1,99.00%,-16.1%,-87.6%,United States,Technology,Software - Infrastructure,0,0,0,202.29
MAERSK-B.CO,A.P. Møller - Mærsk B A/S,HOLD,BUY,BUY,GOLD,5.5,7.12%,49.5%,284.6%,Denmark,Industrials,Marine Shipping,0,0,0,15725.0
PNDORA.CO,Pandora A/S,HOLD,BUY,BUY,GOLD,5.019,3.50%,17.3%,88.8%,Denmark,Consumer Cyclical,Luxury Goods,0,0,0,572.0
TGT,Target Corporation,HOLD,BUY,BUY,GOLD,4.826,4.20%,11.0%,126.7%,United States,Consumer Defensive,Discount Stores,0,0,0,108.63
UPS,"United Parcel Service, Inc.",HOLD,BUY,BUY,GOLD,4.764,6.16%,10.2%,232.4%,United States,Industrials,Integrated Freight & Logistics,0,0,0,106.58
NOVO-B.CO,Novo Nordisk B A/S,HOLD,BUY,BUY,GOLD,4.603,3.04%,22.1%,64.1%,Denmark,Healthcare,Drug Manufacturers - General,0,0,0,383.3
TROW,"T. Rowe Price Group, Inc.",HOLD,BUY,BUY,GOLD,4.115,4.91%,7.1%,83.2%,United States,Financial Services,Asset Management,0,0,0,103.51
UNH,UnitedHealth Group Incorporated,HOLD,BUY,BUY,GOLD,3.516,2.65%,12.6%,43.0%,United States,Healthcare,Healthcare Plans,0,0,0,333.93
TXN,Texas Instruments Incorporated,HOLD,BUY,BUY,GOLD,3.377,3.01%,8.1%,62.7%,United States,Technology,Semiconductors,0,0,0,188.53
AMGN,Amgen Inc.,HOLD,BUY,BUY,GOLD,3.341,2.98%,8.3%,60.9%,United States,Healthcare,Drug Manufacturers - General,0,0,0,324.3
NEE,"NextEra Energy, Inc.",HOLD,BUY,BUY,BUY,3.213,2.78%,10.1%,50.1%,United States,Utilities,Utilities - Regulated Electric,0,0,0,81.64
ARCC,Ares Capital Corporation,HOLD,BUY,BUY,BUY,3.145,9.38%,3.7%,54.7%,United States,Financial Services,Asset Management,0,0,0,20.48
ADP,"Automatic Data Processing, Inc.",HOLD,BUY,BUY,BUY,3.137,2.65%,11.5%,42.8%,United States,Technology,Software - Application,0,0,0,257.07
ATO,Atmos Energy Corporation,HOLD,BUY,BUY,BUY,2.879,2.38%,9.0%,28.3%,United States,Utilities,Utilities - Regulated Gas,0,0,0,168.41
