GeneratedUTC,Ticker,Name,Country,Currency,Exchange,Sector,Industry,Price,DividendYield_%,PayoutRatio_%,PE
2026-01-14 10:36:08 UTC,NOVO-B.CO,Novo Nordisk B A/S,Denmark,DKK,CPH,Healthcare,Drug Manufacturers - General,382.3,304.0,49.94,16.379604
2026-01-14 10:36:08 UTC,DSV.CO,DSV A/S,Denmark,DKK,CPH,Industrials,Integrated Freight & Logistics,1730.0,41.0,17.5,43.174446
2026-01-14 10:36:08 UTC,MAERSK-B.CO,A.P. Møller - Mærsk B A/S,Denmark,DKK,CPH,Industrials,Marine Shipping,15455.0,712.0,51.910000000000004,7.7084603
2026-01-14 10:36:08 UTC,CARL-B.CO,Carlsberg B A/S,Denmark,DKK,CPH,Consumer Defensive,Beverages - Brewers,851.8,323.0,53.56999999999999,16.907503
2026-01-14 10:36:08 UTC,PNDORA.CO,Pandora A/S,Denmark,DKK,CPH,Consumer Cyclical,Luxury Goods,560.2,350.0,30.12,8.435476
2026-01-14 10:36:08 UTC,COLO-B.CO,Coloplast B A/S,Denmark,DKK,CPH,Healthcare,Medical Instruments & Supplies,575.0,399.0,136.39,35.625774
2026-01-14 10:36:08 UTC,DANSKE.CO,Danske Bank A/S,Denmark,DKK,CPH,Financial Services,Banks - Regional,321.9,585.0,34.25,11.786891
2026-01-14 10:36:08 UTC,SYDB.CO,Sydbank A/S,Denmark,DKK,CPH,Financial Services,Banks - Regional,557.0,4.8299997999999995,60.95,12.6275215
2026-01-14 10:36:08 UTC,JYSK?,,,,,,,,,,
2026-01-14 10:36:08 UTC,-,,,,,,,,,,
2026-01-14 10:36:08 UTC,TRYG.CO,Tryg A/S,Denmark,DKK,CPH,Financial Services,Insurance - Diversified,158.4,515.0,100.46,19.874529
2026-01-14 10:36:08 UTC,TOP.CO,,,,,,,,,,
2026-01-14 10:36:08 UTC,TORM,"TOR Minerals International, Inc",United States,USD,PNK,Basic Materials,Specialty Chemicals,1.02,,0.0,
2026-01-14 10:36:08 UTC,SPNO.CO,,,,,,,,,,
2026-01-14 10:36:08 UTC,SPNO.CO),,,,,,,,,,
2026-01-14 10:36:08 UTC,NDA-DK.CO,Nordea Bank Abp,Finland,DKK,CPH,Financial Services,Banks - Regional,123.9,566.0,67.63,11.924928
2026-01-14 10:36:08 UTC,DK,"Delek US Holdings, Inc.",United States,USD,NYQ,Energy,Oil & Gas Refining & Marketing,29.6,345.0,308.32999,-44.901554
2026-01-14 10:36:08 UTC,–,,,,,,,,,,
2026-01-14 10:36:08 UTC,AFL,AFLAC Incorporated,United States,USD,NYQ,Financial Services,Insurance - Life,107.96,225.99999999999997,29.43,14.186596
